id,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,location_cluster,bathroom_map,amenities_count,host_verifications_count,sentiment,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
31894005,100,0,8,8,1,1,3,2,1,1,135,1,28,1,11,30,60,320,46,23,3,0,6,1,5,0,1.08,4,7,37,2,0.87726,4.87,4.91,4.91,4.96,4.98,4.76,4.65
31927540,95.73333602,0,1,2,1,1,3,1,1,1,35,3,7,1,0,0,0,0,1,0,0,0,1,0,1,0,0.02,6,5,14,2,0.9844,5,5,5,5,5,5,5
31937238,94.03356672,0,1,1,1,1,3,2,1,1,55,2,1125,1,0,0,0,0,36,0,0,0,1,0,1,0,0.83,5,5,17,2,0.85629,4.78,4.89,4.75,4.94,5,4.83,4.64
31977440,100,0,2,2,1,0,3,2,5,4,180,1,730,1,26,56,86,176,0,0,0,0,2,0,2,0,0.437163562,2,11,16,2,0.794546533,4.896010157,4.869449855,4.776465527,4.884452731,4.916349659,4.846115061,4.761809573
31986592,100,0,2,3,1,1,3,3,3,2,81,1,1125,1,0,1,1,7,64,0,0,1,2,0,2,0,1.45,1,7,17,2,0.53358,4.66,4.64,4.66,4.46,4.63,4.89,4.73
31987645,93.25917154,0,2,5,1,1,4,2,1,1,120,3,1125,1,0,0,0,0,6,0,0,0,1,1,0,0,0.14,1,6,20,2,0.68637,4.67,4.67,4.67,4.67,4.83,4.83,4.67
31988598,87.71042684,0,2,2,1,1,4,4,2,2,100,2,1125,1,0,0,0,0,2,0,0,0,2,1,1,0,0.05,7,11,26,2,0.794546533,3.5,2,2.5,4,4,3.5,3
32005643,92.99108805,0,1,1,1,1,4,3,2,2,105,3,1125,1,0,0,0,0,40,0,0,1,1,1,0,0,0.95,1,6,29,2,0.85017,4.6,4.9,4.88,5,5,4.33,4.6
32009094,82.16803948,0,2,2,1,1,3,2,1,1,56,2,7,1,0,0,0,0,10,0,0,1,2,0,2,0,0.23,5,5,13,2,0.80285,4.2,4.9,4,4.8,4.8,4.5,4.4
32011399,90,0,1,1,1,1,4,12,4,6,629,2,1125,1,3,9,14,141,73,36,2,1,1,1,0,0,1.72,1,15,29,2,0.82351,4.7,4.81,4.58,4.7,4.73,4.85,4.63
